Symbol,Tick,Company
20MICRONS,20ML IN Equity,20 MICRONS LTD
3IINFOTECH,III IN Equity,3I INFOTECH LTD
3MINDIA,3M IN Equity,3M INDIA LTD
3PLAND,3PLAND IN Equity,3P LAND HOLDINGS LTD
5PAISA,5PAISA IN Equity,5PAISA CAPITAL LTD
63MOONS,63MOONS IN Equity,63 MOONS TECHNOLOGIES LTD
8KMILES,KMSS IN Equity,8K MILES SOFTWARE SERVICES LTD
A2ZINFRA,A2ZL IN Equity,A2Z INFRA ENGINEERING LTD
AARTIDRUGS,ARTD IN Equity,AARTI DRUGS LTD
AARTIIND,ARTO IN Equity,AARTI INDUSTRIES LTD
AARVEEDEN,ARV IN Equity,AARVEE DENIMS & EXPORTS LTD
AAVAS,AAVAS IN Equity,AAVAS FINANCIERS LTD
ABAN,ABAN IN Equity,ABAN OFFSHORE LTD
ABB,ABB IN Equity,ABB INDIA LTD
ABBOTINDIA,BOOT IN Equity,ABBOTT INDIA LTD
ABMINTLTD,ABMINTL IN Equity,ABM INTERNATIONAL LTD
ACC,ACC IN Equity,ACC LTD
ACCELYA,ACCELYA IN Equity,ACCELYA SOLUTIONS INDIA LTD
ACE,ACCE IN Equity,Action Construction Equipment Ltd
ADANIENT,ADE IN Equity,ADANI ENTERPRISES LTD
ADANIGAS,ADGAS IN Equity,ADANI GAS LTD
ADANIGREEN,ADANIGR IN Equity,ADANI GREEN ENERGY LTD
ADANIPORTS,ADSEZ IN Equity,Adani Ports and Special Economic Zone LTD
ADANIPOWER,ADANI IN Equity,ADANI POWER LTD
ADANITRANS,ADANIT IN Equity,ADANI TRANSMISSION LTD
ADFFOODS,ADFL IN Equity,ADF FOODS LTD
ADHUNIKIND,ADIL IN Equity,ADHUNIK INDUSTRIES LTD
ADHUNIK,ADML IN Equity,ADHUNIK METALIKS LTD
ABCAPITAL,ABCAP IN Equity,ADITYA BIRLA CAPITAL LTD
ABFRL,ABFRL IN Equity,Aditya Birla Fashion and Retail LTD
BIRLAMONEY,ABML IN Equity,ADITYA BIRLA MONEY LTD
ADLABS,ADLB IN Equity,ADLABS ENTERTAINMENT LTD
ADORWELD,AWL IN Equity,ADOR WELDING LTD
ADROITINFO,ADROIT IN Equity,ADROIT INFOTECH LTD
ADVENZYMES,ADVENZY IN Equity,Advanced Enzyme Technologies LTD
ADVANIHOTR,RMDA IN Equity,Advani Hotels & Resorts (India) LTD
AEGISCHEM,AGIS IN Equity,AEGIS LOGISTICS LTD
AGARIND,AGAR IN Equity,Agarwal Industrial Corporation LTD
AGCNET,AGC IN Equity,AGC NETWORKS LTD
AGRITECH,AGTI IN Equity,Agri-Tech (India) LTD
AGROPHOS,AGROPHOS IN Equity,AGRO PHOS INDIA LTD
ATFL,ATFL IN Equity,AGRO TECH FOODS LTD
AHLUCONT,AHLU IN Equity,Ahluwalia Contracts (India) LTD
AIAENG,AIAE IN Equity,AIA ENGINEERING LTD
AIRAN,AIRAN IN Equity,AIRAN LTD
AJANTPHARM,AJP IN Equity,AJANTA PHARMA LTD
AJMERA,AREAL IN Equity,Ajmera Realty & Infra India LTD
AKSHOPTFBR,AKOP IN Equity,AKSH OPTIFIBRE LTD
AKSHARCHEM,ADCH IN Equity,AKSHARCHEM INDIA LTD
AKZOINDIA,AKZO IN Equity,AKZO NOBEL INDIA LTD
ALANKIT,ALAN IN Equity,ALANKIT LTD
ALBERTDAVD,ALBRT IN Equity,ALBERT DAVID LTD
ALCHEM,ACH IN Equity,ALCHEMIST LTD
ALEMBICLTD,ALBC IN Equity,ALEMBIC LTD
APLLTD,ALPM IN Equity,ALEMBIC PHARMACEUTICALS LTD
ALICON,ALIC IN Equity,ALICON CASTALLOY LTD
ALKALI,ALKL IN Equity,ALKALI METALS LTD
ALKEM,ALKEM IN Equity,ALKEM LABORATORIES LTD
ALKYLAMINE,AACL IN Equity,ALKYL AMINES CHEMICALS LTD
ALBK,ALBK IN Equity,ALLAHABAD BANK
ALLCARGO,AGLL IN Equity,ALLCARGO LOGISTICS LTD
ADSL,ALDS IN Equity,ALLIED DIGITAL SERVICES LTD
ALLSEC,ALLT IN Equity,ALLSEC TECHNOLOGIES LTD
ALOKTEXT,ALOK IN Equity,ALOK INDUSTRIES LTD
ALPA,ALPA IN Equity,ALPA LABORATORIES LTD
ALPHAGEO,APH IN Equity,ALPHAGEO (INDIA) LTD
ALPSINDUS,ALPI IN Equity,ALPS INDUSTRIES LTD
AMARAJABAT,AMRJ IN Equity,AMARA RAJA BATTERIES LTD
AMBER,AMBER IN Equity,AMBER ENTERPRISES INDIA LTD
AMBIKCO,ACML IN Equity,AMBIKA COTTON MILLS LTD
AMBUJACEM,ACEM IN Equity,AMBUJA CEMENTS LTD
AMDIND,AMDM IN Equity,AMD INDUSTRIES LTD
AMJLAND,AMJLAND IN Equity,AMJ LAND HOLDINGS LTD
AMRUTANJAN,ARJN IN Equity,AMRUTANJAN HEALTH CARE LTD
ANANTRAJ,1650316D IN Equity,Anant Raj LTD
ANDHRABANK,ANDB IN Equity,ANDHRA BANK
ANDHRACEMT,ANDC IN Equity,ANDHRA CEMENTS LTD
ANIKINDS,ANIK IN Equity,ANIK INDUSTRIES LTD
APCL,SHZC IN Equity,ANJANI PORTLAND CEMENT LTD
ANKITMETAL,ANMP IN Equity,ANKIT METAL & POWER LTD
ANSALHSG,ANSALHSG IN Equity,ANSAL HOUSING LTD
ANSALAPI,APIL IN Equity,Ansal Properties & Infrastructure LTD
ANTGRAPHIC,ATRG IN Equity,ANTARCTICA LTD
APARINDS,APR IN Equity,APAR INDUSTRIES LTD
APCOTEXIND,APCO IN Equity,APCOTEX INDUSTRIES LTD
APEX,APEX IN Equity,APEX FROZEN FOODS LTD
APLAPOLLO,APAT IN Equity,APL APOLLO TUBES LTD
APOLLO,APOLLO IN Equity,APOLLO MICRO SYSTEMS LTD
APOLSINHOT,APOL IN Equity,APOLLO SINDOORI HOTELS LTD
APOLLOTYRE,APTY IN Equity,APOLLO TYRES LTD
APTECHT,APTR IN Equity,APTECH LTD
ARCHIDPLY,APLY IN Equity,ARCHIDPLY INDUSTRIES LTD
ARCHIES,AGG IN Equity,ARCHIES LTD
ARCOTECH,ATECH IN Equity,ARCOTECH LTD
ARIES,ARIE IN Equity,ARIES AGRO LTD
ARIHANTSUP,ARSU IN Equity,ARIHANT SUPERSTRUCTURES LTD
ARMANFIN,ARLF IN Equity,ARMAN FINANCIAL SERVICES LTD
AROGRANITE,AGI IN Equity,ARO GRANITE INDUSTRIES LTD
ARROWGREEN,ARGL IN Equity,ARROW GREENTECH LTD
ARROWTEX,ATEX IN Equity,ARROW TEXTILES LTD
ARSHIYA,ARSL IN Equity,ARSHIYA LTD
ARVINDFASN,ARVINDFA IN Equity,ARVIND FASHIONS LTD
ARVIND,ARVND IN Equity,ARVIND LTD
ARVSMART,ARIL IN Equity,ARVIND SMARTSPACES LTD
ASAHIINDIA,AISG IN Equity,ASAHI INDIA GLASS LTD
