Symbol,Tick,Company
20MICRONS,20ML IS,20 MICRONS LTD
3IINFOTECH,III IS,3I INFOTECH LTD
3MINDIA,3M IS,3M INDIA LTD
3PLAND,3PLAND IS,3P LAND HOLDINGS LTD
5PAISA,5PAISA IS,5PAISA CAPITAL LTD
63MOONS,63MOONS IS,63 MOONS TECHNOLOGIES LTD
8KMILES,KMSS IS,8K MILES SOFTWARE SERVICES LTD
A2ZINFRA,A2ZL IS,A2Z INFRA ENGINEERING LTD
AARTIDRUGS,ARTD IS,AARTI DRUGS LTD
AARTIIND,ARTO IS,AARTI INDUSTRIES LTD
AARVEEDEN,ARV IS,AARVEE DENIMS & EXPORTS LTD
AAVAS,AAVAS IS,AAVAS FINANCIERS LTD
ABAN,ABAN IS,ABAN OFFSHORE LTD
ABB,ABB IS,ABB INDIA LTD
ABBOTINDIA,BOOT IS,ABBOTT INDIA LTD
ABMINTLTD,ABMINTL IS,ABM INTERNATIONAL LTD
ACC,ACC IS,ACC LTD
ACCELYA,ACCELYA IS,ACCELYA SOLUTIONS INDIA LTD
ACE,ACCE IS,Action Construction Equipment Ltd
ADANIENT,ADE IS,ADANI ENTERPRISES LTD
ADANIGAS,ADGAS IS,ADANI GAS LTD
ADANIGREEN,ADANIGR IS,ADANI GREEN ENERGY LTD
ADANIPORTS,ADSEZ IS,Adani Ports and Special Economic Zone LTD
ADANIPOWER,ADANI IS,ADANI POWER LTD
ADANITRANS,ADANIT IS,ADANI TRANSMISSION LTD
ADFFOODS,ADFL IS,ADF FOODS LTD
ADHUNIKIND,ADIL IS,ADHUNIK INDUSTRIES LTD
ADHUNIK,ADML IS,ADHUNIK METALIKS LTD
ABCAPITAL,ABCAP IS,ADITYA BIRLA CAPITAL LTD
ABFRL,ABFRL IS,Aditya Birla Fashion and Retail LTD
BIRLAMONEY,ABML IS,ADITYA BIRLA MONEY LTD
ADLABS,ADLB IS,ADLABS ENTERTAINMENT LTD
ADORWELD,AWL IS,ADOR WELDING LTD
ADROITINFO,ADROIT IS,ADROIT INFOTECH LTD
ADVENZYMES,ADVENZY IS,Advanced Enzyme Technologies LTD
ADVANIHOTR,RMDA IS,Advani Hotels & Resorts (India) LTD
AEGISCHEM,AGIS IS,AEGIS LOGISTICS LTD
AGARIND,AGAR IS,Agarwal Industrial Corporation LTD
AGCNET,AGC IS,AGC NETWORKS LTD
AGRITECH,AGTI IS,Agri-Tech (India) LTD
AGROPHOS,AGROPHOS IS,AGRO PHOS INDIA LTD
ATFL,ATFL IS,AGRO TECH FOODS LTD
AHLUCONT,AHLU IS,Ahluwalia Contracts (India) LTD
AIAENG,AIAE IS,AIA ENGINEERING LTD
AIRAN,AIRAN IS,AIRAN LTD
AJANTPHARM,AJP IS,AJANTA PHARMA LTD
AJMERA,AREAL IS,Ajmera Realty & Infra India LTD
AKSHOPTFBR,AKOP IS,AKSH OPTIFIBRE LTD
AKSHARCHEM,ADCH IS,AKSHARCHEM INDIA LTD
AKZOINDIA,AKZO IS,AKZO NOBEL INDIA LTD
ALANKIT,ALAN IS,ALANKIT LTD
ALBERTDAVD,ALBRT IS,ALBERT DAVID LTD
ALCHEM,ACH IS,ALCHEMIST LTD
ALEMBICLTD,ALBC IS,ALEMBIC LTD
APLLTD,ALPM IS,ALEMBIC PHARMACEUTICALS LTD
ALICON,ALIC IS,ALICON CASTALLOY LTD
ALKALI,ALKL IS,ALKALI METALS LTD
ALKEM,ALKEM IS,ALKEM LABORATORIES LTD
ALKYLAMINE,AACL IS,ALKYL AMINES CHEMICALS LTD
ALBK,ALBK IS,ALLAHABAD BANK
ALLCARGO,AGLL IS,ALLCARGO LOGISTICS LTD
ADSL,ALDS IS,ALLIED DIGITAL SERVICES LTD
ALLSEC,ALLT IS,ALLSEC TECHNOLOGIES LTD
ALOKTEXT,ALOK IS,ALOK INDUSTRIES LTD
ALPA,ALPA IS,ALPA LABORATORIES LTD
ALPHAGEO,APH IS,ALPHAGEO (INDIA) LTD
ALPSINDUS,ALPI IS,ALPS INDUSTRIES LTD
AMARAJABAT,AMRJ IS,AMARA RAJA BATTERIES LTD
AMBER,AMBER IS,AMBER ENTERPRISES INDIA LTD
AMBIKCO,ACML IS,AMBIKA COTTON MILLS LTD
AMBUJACEM,ACEM IS,AMBUJA CEMENTS LTD
AMDIND,AMDM IS,AMD INDUSTRIES LTD
AMJLAND,AMJLAND IS,AMJ LAND HOLDINGS LTD
AMRUTANJAN,ARJN IS,AMRUTANJAN HEALTH CARE LTD
ANANTRAJ,1650316D IS,Anant Raj LTD
ANDHRABANK,ANDB IS,ANDHRA BANK
ANDHRACEMT,ANDC IS,ANDHRA CEMENTS LTD
ANIKINDS,ANIK IS,ANIK INDUSTRIES LTD
APCL,SHZC IS,ANJANI PORTLAND CEMENT LTD
ANKITMETAL,ANMP IS,ANKIT METAL & POWER LTD
ANSALHSG,ANSALHSG IS,ANSAL HOUSING LTD
ANSALAPI,APIL IS,Ansal Properties & Infrastructure LTD
ANTGRAPHIC,ATRG IS,ANTARCTICA LTD
APARINDS,APR IS,APAR INDUSTRIES LTD
APCOTEXIND,APCO IS,APCOTEX INDUSTRIES LTD
APEX,APEX IS,APEX FROZEN FOODS LTD
APLAPOLLO,APAT IS,APL APOLLO TUBES LTD
